station_id,stationType,dataType,date_range,row_count,columns
C0V840,cwb/auto,10min,2026-06-29~2026-07-06,0,
C0V840,cwb/auto,10min,2026-07-05~2026-07-06,0,
C0V840,cwb/auto,10min,2026-01-07~2026-07-06,0,
C0V840,cwb/auto,hour,2026-06-29~2026-07-06,0,
C0V840,cwb/auto,hour,2026-07-05~2026-07-06,0,
C0V840,cwb/auto,hour,2026-01-07~2026-07-06,0,
C0V840,cwb/auto,day,2026-06-29~2026-07-06,0,
C0V840,cwb/auto,day,2026-07-05~2026-07-06,0,
C0V840,cwb/auto,day,2026-01-07~2026-07-06,0,
C0V840,cwb/auto_C0,10min,2026-06-29~2026-07-06,0,
C0V840,cwb/auto_C0,10min,2026-07-05~2026-07-06,0,
C0V840,cwb/auto_C0,10min,2026-01-07~2026-07-06,0,
C0V840,cwb/auto_C0,hour,2026-06-29~2026-07-06,0,
C0V840,cwb/auto_C0,hour,2026-07-05~2026-07-06,0,
C0V840,cwb/auto_C0,hour,2026-01-07~2026-07-06,0,
C0V840,cwb/auto_C0,day,2026-06-29~2026-07-06,0,
C0V840,cwb/auto_C0,day,2026-07-05~2026-07-06,0,
C0V840,cwb/auto_C0,day,2026-01-07~2026-07-06,0,
C0V840,cwb/mps,10min,2026-06-29~2026-07-06,0,
C0V840,cwb/mps,10min,2026-07-05~2026-07-06,0,
C0V840,cwb/mps,10min,2026-01-07~2026-07-06,0,
C0V840,cwb/mps,hour,2026-06-29~2026-07-06,0,
C0V840,cwb/mps,hour,2026-07-05~2026-07-06,0,
C0V840,cwb/mps,hour,2026-01-07~2026-07-06,0,
C0V840,cwb/mps,day,2026-06-29~2026-07-06,0,
C0V840,cwb/mps,day,2026-07-05~2026-07-06,0,
C0V840,cwb/mps,day,2026-01-07~2026-07-06,0,
C0V840,cwb/rain,10min,2026-06-29~2026-07-06,0,
C0V840,cwb/rain,10min,2026-07-05~2026-07-06,0,
C0V840,cwb/rain,10min,2026-01-07~2026-07-06,0,
C0V840,cwb/rain,hour,2026-06-29~2026-07-06,0,
C0V840,cwb/rain,hour,2026-07-05~2026-07-06,0,
C0V840,cwb/rain,hour,2026-01-07~2026-07-06,0,
C0V840,cwb/rain,day,2026-06-29~2026-07-06,0,
C0V840,cwb/rain,day,2026-07-05~2026-07-06,0,
C0V840,cwb/rain,day,2026-01-07~2026-07-06,0,
C0V840,cwb/auto_M,10min,2026-06-29~2026-07-06,0,
C0V840,cwb/auto_M,10min,2026-07-05~2026-07-06,0,
C0V840,cwb/auto_M,10min,2026-01-07~2026-07-06,0,
C0V840,cwb/auto_M,hour,2026-06-29~2026-07-06,0,
C0V840,cwb/auto_M,hour,2026-07-05~2026-07-06,0,
C0V840,cwb/auto_M,hour,2026-01-07~2026-07-06,0,
C0V840,cwb/auto_M,day,2026-06-29~2026-07-06,0,
C0V840,cwb/auto_M,day,2026-07-05~2026-07-06,0,
C0V840,cwb/auto_M,day,2026-01-07~2026-07-06,0,
C0V840,cwb,10min,2026-06-29~2026-07-06,0,
C0V840,cwb,10min,2026-07-05~2026-07-06,0,
C0V840,cwb,10min,2026-01-07~2026-07-06,0,
C0V840,cwb,hour,2026-06-29~2026-07-06,0,
C0V840,cwb,hour,2026-07-05~2026-07-06,0,
C0V840,cwb,hour,2026-01-07~2026-07-06,0,
C0V840,cwb,day,2026-06-29~2026-07-06,0,
C0V840,cwb,day,2026-07-05~2026-07-06,0,
C0V840,cwb,day,2026-01-07~2026-07-06,0,
C0V890,cwb/auto,10min,2026-06-29~2026-07-06,0,
C0V890,cwb/auto,10min,2026-07-05~2026-07-06,0,
C0V890,cwb/auto,10min,2026-01-07~2026-07-06,0,
C0V890,cwb/auto,hour,2026-06-29~2026-07-06,0,
C0V890,cwb/auto,hour,2026-07-05~2026-07-06,0,
C0V890,cwb/auto,hour,2026-01-07~2026-07-06,0,
C0V890,cwb/auto,day,2026-06-29~2026-07-06,0,
C0V890,cwb/auto,day,2026-07-05~2026-07-06,0,
C0V890,cwb/auto,day,2026-01-07~2026-07-06,0,
C0V890,cwb/auto_C0,10min,2026-06-29~2026-07-06,0,
C0V890,cwb/auto_C0,10min,2026-07-05~2026-07-06,0,
C0V890,cwb/auto_C0,10min,2026-01-07~2026-07-06,0,
C0V890,cwb/auto_C0,hour,2026-06-29~2026-07-06,0,
C0V890,cwb/auto_C0,hour,2026-07-05~2026-07-06,0,
C0V890,cwb/auto_C0,hour,2026-01-07~2026-07-06,0,
C0V890,cwb/auto_C0,day,2026-06-29~2026-07-06,0,
C0V890,cwb/auto_C0,day,2026-07-05~2026-07-06,0,
C0V890,cwb/auto_C0,day,2026-01-07~2026-07-06,0,
C0V890,cwb/mps,10min,2026-06-29~2026-07-06,0,
C0V890,cwb/mps,10min,2026-07-05~2026-07-06,0,
C0V890,cwb/mps,10min,2026-01-07~2026-07-06,0,
C0V890,cwb/mps,hour,2026-06-29~2026-07-06,0,
C0V890,cwb/mps,hour,2026-07-05~2026-07-06,0,
C0V890,cwb/mps,hour,2026-01-07~2026-07-06,0,
C0V890,cwb/mps,day,2026-06-29~2026-07-06,0,
C0V890,cwb/mps,day,2026-07-05~2026-07-06,0,
C0V890,cwb/mps,day,2026-01-07~2026-07-06,0,
C0V890,cwb/rain,10min,2026-06-29~2026-07-06,0,
C0V890,cwb/rain,10min,2026-07-05~2026-07-06,0,
C0V890,cwb/rain,10min,2026-01-07~2026-07-06,0,
C0V890,cwb/rain,hour,2026-06-29~2026-07-06,0,
C0V890,cwb/rain,hour,2026-07-05~2026-07-06,0,
C0V890,cwb/rain,hour,2026-01-07~2026-07-06,0,
C0V890,cwb/rain,day,2026-06-29~2026-07-06,0,
C0V890,cwb/rain,day,2026-07-05~2026-07-06,0,
C0V890,cwb/rain,day,2026-01-07~2026-07-06,0,
C0V890,cwb/auto_M,10min,2026-06-29~2026-07-06,0,
C0V890,cwb/auto_M,10min,2026-07-05~2026-07-06,0,
C0V890,cwb/auto_M,10min,2026-01-07~2026-07-06,0,
C0V890,cwb/auto_M,hour,2026-06-29~2026-07-06,0,
C0V890,cwb/auto_M,hour,2026-07-05~2026-07-06,0,
C0V890,cwb/auto_M,hour,2026-01-07~2026-07-06,0,
C0V890,cwb/auto_M,day,2026-06-29~2026-07-06,0,
C0V890,cwb/auto_M,day,2026-07-05~2026-07-06,0,
C0V890,cwb/auto_M,day,2026-01-07~2026-07-06,0,
C0V890,cwb,10min,2026-06-29~2026-07-06,0,
