threshold,anchor,csi,far,pod,tp,fp,fn
0.25,H1,0.1048780487804878,0.8847184986595175,0.5375,43,330,37
0.25,H2,0.10761154855643044,0.8801169590643275,0.5125,41,301,39
0.25,H3,0.17819148936170212,0.8154269972451791,0.8375,67,296,13
0.25,H4,0.2774869109947644,0.676829268292683,0.6625,53,111,27
0.25,mean,0.1670419994233462,0.8142729308154267,0.6375,204,1038,116
0.3,H1,0.1048780487804878,0.8847184986595175,0.5375,43,330,37
0.3,H2,0.10962566844919786,0.8776119402985074,0.5125,41,294,39
0.3,H3,0.18157181571815717,0.8117977528089888,0.8375,67,289,13
0.3,H4,0.2774869109947644,0.676829268292683,0.6625,53,111,27
0.3,mean,0.1683906109856518,0.8127393650149242,0.6375,204,1024,116
0.35,H1,0.1075,0.8815426997245179,0.5375,43,320,37
0.35,H2,0.11388888888888889,0.8722741433021807,0.5125,41,280,39
0.35,H3,0.20364741641337386,0.7879746835443038,0.8375,67,249,13
0.35,H4,0.2774869109947644,0.676829268292683,0.6625,53,111,27
0.35,mean,0.1756308040742568,0.8046551987159214,0.6375,204,960,116
0.4,H1,0.10831234256926953,0.8805555555555555,0.5375,43,317,37
0.4,H2,0.11849710982658959,0.8664495114006515,0.5125,41,266,39
0.4,H3,0.2108843537414966,0.7753623188405797,0.775,62,214,18
0.4,H4,0.24607329842931938,0.7025316455696202,0.5875,47,111,33
0.4,mean,0.17094177614166878,0.8062247578416017,0.6031249999999999,193,908,127
0.45,H1,0.11168831168831168,0.8764367816091954,0.5375,43,305,37
0.45,H2,0.12202380952380952,0.8619528619528619,0.5125,41,256,39
0.45,H3,0.2084942084942085,0.7682403433476395,0.675,54,179,26
0.45,H4,0.23157894736842105,0.7142857142857143,0.55,44,110,36
0.45,mean,0.1684463192686877,0.8052289252988527,0.56875,182,850,138
0.5,H1,0.11559139784946236,0.8716417910447761,0.5375,43,292,37
0.5,H2,0.12693498452012383,0.8556338028169014,0.5125,41,243,39
0.5,H3,0.1792452830188679,0.7764705882352941,0.475,38,132,42
0.5,H4,0.20652173913043478,0.7323943661971831,0.475,38,104,42
0.5,mean,0.15707335112972223,0.8090351370735387,0.5,160,771,160
0.55,H1,0.1235632183908046,0.8617363344051447,0.5375,43,268,37
0.55,H2,0.132890365448505,0.8467432950191571,0.5,40,221,40
0.55,H3,0.11949685534591195,0.8061224489795918,0.2375,19,79,61
0.55,H4,0.1377245508982036,0.7909090909090909,0.2875,23,87,57
0.55,mean,0.12841874752085627,0.8263777923282462,0.390625,125,655,195
0.6,H1,0.13271604938271606,0.8501742160278746,0.5375,43,244,37
0.6,H2,0.1371841155234657,0.8382978723404255,0.475,38,197,42
0.6,H3,0.041666666666666664,0.8,0.05,4,16,76
0.6,H4,0.08633093525179857,0.8309859154929577,0.15,12,59,68
0.6,mean,0.09947444170616175,0.8298645009653145,0.303125,97,516,223
0.65,H1,0.13725490196078433,0.8432835820895522,0.525,42,226,38
0.65,H2,0.14473684210526316,0.8176795580110497,0.4125,33,148,47
0.65,H3,0.0,,0.0,0,0,80
0.65,H4,0.0,1.0,0.0,0,3,80
0.65,mean,0.07049793601651187,0.8869877133668673,0.234375,75,377,245
0.7,H1,0.14285714285714285,0.8303571428571429,0.475,38,186,42
0.7,H2,0.11904761904761904,0.8148148148148148,0.25,20,88,60
0.7,H3,0.0,,0.0,0,0,80
0.7,H4,0.0,,0.0,0,0,80
0.7,mean,0.06547619047619047,0.8225859788359788,0.18125,58,274,262
0.75,H1,0.14583333333333334,0.8,0.35,28,112,52
0.75,H2,0.08421052631578947,0.6521739130434783,0.1,8,15,72
0.75,H3,0.0,,0.0,0,0,80
0.75,H4,0.0,,0.0,0,0,80
0.75,mean,0.05751096491228071,0.7260869565217392,0.11249999999999999,36,127,284
0.8,H1,0.05747126436781609,0.5833333333333334,0.0625,5,7,75
0.8,H2,0.0,,0.0,0,0,80
0.8,H3,0.0,,0.0,0,0,80
0.8,H4,0.0,,0.0,0,0,80
0.8,mean,0.014367816091954023,0.5833333333333334,0.015625,5,7,315
0.85,H1,0.0,,0.0,0,0,80
0.85,H2,0.0,,0.0,0,0,80
0.85,H3,0.0,,0.0,0,0,80
0.85,H4,0.0,,0.0,0,0,80
0.85,mean,0.0,,0.0,0,0,320
